,char,strokeorder
74,创,28 25 10 47 27 39
75,柳,26 27 28 25 28 37 28 10 27
76,制,28 26 26 27 10 27 27 39
77,员,27 31 26 27 31 29 30
78,园,27 31 26 26 29 47 26
79,快,30 30 27 31 26 29 25
80,明,27 31 26 26 29 10 26 26
81,复,28 26 27 31 26 26 28 12 25
82,证,30 16 26 27 26 27 26
83,通,33 30 27 10 26 26 27 30 31 44
84,楼,26 27 28 30 30 28 26 27 28 25 40 28 26
85,迎,28 37 10 27 30 31 44
86,地,26 27 26 10 27 47
87,贸,28 37 30 10 28 27 31 28 25
88,建,31 26 26 26 26 27 18 25
89,场,26 27 26 49 28 28
90,区,26 28 25 34
91,养,30 28 26 26 26 29 25 29 27
92,方,30 26 10 29
93,以,37 30 29 30
94,汽,30 30 0 28 26 26 14
95,自,28 27 31 26 26 26
96,鲜,28 33 27 31 26 27 26 26 30 28 26 26 26 27
97,名,28 12 30 27 31 26
98,三,26 26 26
99,育,30 26 42 30 27 10 26 26
100,桥,26 27 28 30 29 26 29 25 29 27
101,专,26 26 45 30
102,管,28 26 30 28 26 30 30 30 33 27 31 26 31 26
103,用,29 10 26 26 27
104,质,26 29 26 27 27 31 29 30
105,版,29 27 26 31 28 29 12 25
106,车,26 34 26 27
107,齐,30 26 28 25 29 27
108,立,30 26 30 28 26
109,之,30 12 25
110,酒,30 30 0 26 27 31 29 6 26 26
111,家,30 30 33 26 28 1 28 28 28 25
112,具,27 31 26 26 26 26 28 30
113,馆,28 33 37 30 30 33 27 31 26 31 26
114,赞,28 26 27 26 29 47 28 26 27 26 29 47 27 31 29 30
115,萧,26 27 27 31 26 26 27 28 27 30 30
116,兄,27 31 26 29 47
117,等,28 26 30 28 26 30 26 27 26 26 39 30
118,盼,27 31 26 26 26 28 44 10 29
119,棋,26 27 28 30 26 27 27 26 26 26 28 30
120,陈,20 27 26 34 39 28 30
121,站,30 26 30 28 26 27 26 27 31 26
122,六,30 26 28 30
123,健,28 27 31 26 26 26 26 27 18 25
124,话,30 16 28 26 27 27 31 26
125,商,30 26 30 28 27 10 28 30 27 31 26
126,竹,28 26 27 28 26 39
127,路,27 31 26 27 26 27 0 28 12 25 27 31 26
128,相,26 27 28 30 27 31 26 26 26
129,驶,31 15 26 27 31 26 28 25
130,扬,26 39 0 49 28 28
131,习,10 30 0
132,浴,30 30 0 28 30 28 25 27 31 26
133,崔,27 34 27 28 27 30 26 26 26 27 26
134,白,28 27 31 26 26
135,厦,26 29 26 28 27 31 26 26 26 28 12 25
136,城,26 27 26 26 29 10 3 28 30
137,文,30 26 28 25
138,街,28 28 27 26 27 26 26 27 26 26 26 39
139,讯,30 16 14 26 27
140,捷,26 39 0 26 31 26 26 27 26 28 44
141,好,40 28 26 33 39 26
142,联,26 27 27 26 26 26 30 28 26 26 29 25
143,的,28 27 31 26 26 28 10 30
144,恩,27 31 26 29 25 26 30 5 30 30
145,器,27 31 26 27 31 26 26 29 25 30 27 31 26 27 31 26
146,湖,30 30 0 26 27 27 31 26 29 10 26 26
147,核,26 27 28 30 30 26 42 28 28 30
148,豆,26 27 31 26 30 28 26
149,物,28 26 26 27 28 10 28 28
150,打,26 39 0 26 39
151,银,28 26 26 26 37 31 26 26 37 28 25
152,发,34 28 12 25 30
153,诚,30 16 26 29 10 3 28 30
154,辅,26 34 26 27 26 27 10 26 26 27 30
155,招,26 39 0 10 29 27 31 26
156,动,26 26 42 30 10 29
157,速,26 27 31 26 27 28 25 30 31 44
158,然,28 12 30 30 26 29 25 30 30 30 30 30
159,座,30 26 28 28 30 28 30 26 27 26
160,爱,28 30 30 28 30 33 26 28 12 25
161,洋,30 30 0 30 28 26 26 26 27
162,气,28 26 26 14
163,县,27 31 26 26 26 42 30
164,交,30 26 28 30 28 25
165,连,26 34 26 27 30 31 44
166,科,28 26 27 28 30 30 30 26 27
167,放,30 26 10 29 28 26 28 25
168,治,30 30 0 42 30 27 31 26
169,瑞,26 26 27 26 27 34 27 26 28 27 10 27 27
170,一,26
171,程,28 26 27 28 30 27 31 26 26 26 27 26
172,友,26 28 12 25
173,网,27 10 28 25 28 25
174,火,30 28 29 25
175,综,42 42 0 30 30 33 26 26 39 28 30
176,大,26 29 25
177,雅,26 34 39 28 28 27 30 26 26 26 27 26
178,届,31 26 29 27 31 26 27 26
179,元,26 26 29 47
180,收,37 27 28 26 28 25
181,京,30 26 27 31 26 39 28 30
182,平,26 30 28 26 27
183,乐,28 31 39 30 30
184,派,30 30 0 28 28 28 37 28 25
185,工,26 27 26
186,宣,30 30 33 26 27 31 26 26 26
187,宇,30 30 33 26 26 39
188,心,30 5 30 30
189,北,27 26 0 28 47
190,菜,26 27 27 28 30 30 28 26 27 28 25
191,入,28 44
192,坤,26 27 26 27 31 26 26 27
193,全,28 44 26 26 27 26
194,设,30 16 29 21 12 25
195,唯,27 31 26 28 27 30 26 26 26 27 26
196,禧,30 12 27 30 26 27 26 27 31 26 30 30 26 27 31 26
197,新,30 26 30 28 26 26 39 28 30 28 29 26 27
198,示,26 26 39 28 30
199,纫,42 42 0 10 29 30
200,宫,30 30 33 27 31 26 27 31 26
201,告,28 26 27 26 27 31 26
202,西,26 27 31 29 6 26
203,盛,26 29 10 3 28 30 27 31 27 27 26
204,素,26 26 27 26 42 42 30 39 28 30
205,头,30 30 26 29 30
206,秀,28 26 27 28 25 49 29
207,控,26 39 0 30 30 33 28 44 26 27 26
208,险,20 27 28 25 26 30 30 28 26
209,租,28 26 27 28 30 27 31 26 26 26
210,泽,30 30 0 12 25 26 26 27
211,勃,26 27 30 33 33 39 26 10 29
212,久,28 12 25
213,安,30 30 33 40 28 26
214,辆,26 34 26 27 26 27 10 29 30 29 30
215,淀,30 30 0 30 30 33 26 27 26 28 25
216,滨,30 30 0 30 30 33 28 27 26 27 26 28 30
217,日,27 31 26 26
218,源,30 30 0 26 29 28 27 31 26 26 39 28 30
219,售,28 27 30 26 26 26 27 26 27 31 26
220,司,10 26 27 31 26
221,找,26 39 0 26 3 28 30
222,信,28 27 30 26 26 26 27 31 26
223,闲,27 30 10 26 27 28 25
224,提,26 39 0 27 31 26 26 26 27 26 28 25
225,杭,26 27 28 30 30 26 29 14
226,镶,28 26 26 26 37 30 26 27 31 26 27 31 26 26 26 27 27 26 28 37 28 25
227,人,29 25
228,先,28 26 27 26 29 47
229,达,26 29 25 30 31 44
230,柜,26 27 28 30 26 31 26 34
231,房,30 31 26 29 30 26 10 29
232,八,28 44
233,原,26 29 28 27 31 26 26 39 28 30
234,外,28 12 30 27 30
235,监,27 27 28 26 30 27 31 27 27 26
236,岗,27 34 27 27 10 28 25
237,丝,42 42 42 42 26
238,数,30 28 26 27 28 25 40 28 26 28 26 28 25
239,莊,27 26 27 26 34 27 26 28 26 27 26
240,绒,42 42 0 26 3 28 30 26 28
241,喷,27 31 26 26 27 26 27 27 27 31 29 30
242,谐,30 16 26 37 28 47 28 27 31 26 26
243,纺,42 42 0 30 26 10 29
244,为,30 29 10 30
245,花,26 27 27 28 27 28 47
246,耗,26 26 26 27 28 25 28 26 26 47
247,惠,26 27 31 26 26 27 26 30 30 5 30 30
248,镜,28 26 26 26 37 30 26 30 28 26 27 31 26 26 29 47
249,嘉,26 27 26 27 31 26 30 28 26 10 29 27 31 26
250,进,26 26 29 27 30 31 44
251,愧,30 30 27 28 27 31 26 26 29 47 42 30
252,業,27 27 30 28 26 30 28 26 26 26 27 28 25
253,存,26 28 27 33 39 26
254,环,26 26 27 26 26 28 27 30
255,警,26 27 27 28 10 27 31 26 28 26 28 25 30 26 26 26 27 31 26
256,基,26 27 27 26 26 26 28 30 26 27 26
257,墙,26 27 0 26 30 30 27 26 27 31 27 31 26 26
258,善,30 28 26 26 27 26 30 28 26 27 31 26
259,向,28 27 10 27 31 26
260,时,27 31 26 26 26 39 30
261,至,26 42 30 26 27 26
262,泥,30 30 0 31 26 29 28 47
263,世,26 27 27 26 34
264,伦,28 27 28 25 28 47
265,康,30 26 28 31 26 26 39 30 0 28 25
266,前,30 28 26 29 10 26 26 27 39
267,迪,27 31 26 27 26 30 31 44
268,鸭,27 31 26 26 27 28 10 30 15 26
269,款,26 27 26 26 26 39 28 30 28 33 29 25
270,铁,28 26 26 26 37 29 26 26 29 25
271,户,30 31 26 29
272,休,28 27 26 27 28 25
273,谢,30 16 28 27 10 26 26 26 28 26 39 30
274,图,27 31 28 12 25 30 30 26
275,海,30 30 0 28 26 34 10 30 30 26
276,阳,20 27 27 31 26 26
277,永,30 10 12 28 25
278,合,29 25 26 27 31 26
279,服,29 10 26 26 10 27 12 25
280,都,26 27 26 28 27 31 26 26 20 27
281,木,26 27 28 25
282,类,30 28 26 27 28 25 26 29 25
283,面,26 28 27 31 27 27 26 26 26
284,磨,30 26 29 26 27 28 30 26 27 28 25 26 28 27 31 26
285,岛,28 10 30 15 27 34 27
286,店,30 26 29 27 26 27 31 26
287,川,29 27 27
288,字,30 30 33 33 39 26
289,执,26 39 0 29 14 30
290,王,26 26 27 26
291,社,30 12 27 30 26 27 26
292,驾,10 29 27 31 26 31 15 26
293,龄,27 26 27 26 29 25 34 27 28 25 30 33 30
294,暖,27 31 26 26 28 30 30 28 26 26 28 12 25
295,局,31 26 28 10 27 31 26
296,尾,31 26 29 28 26 26 47
297,品,27 31 26 27 31 26 27 31 26
298,卫,10 27 26
299,军,30 33 26 34 26 27
300,能,42 30 27 10 26 26 28 47 28 47
301,德,28 28 27 26 27 27 31 27 27 26 26 30 5 30 30
302,政,26 27 26 27 26 28 26 28 25
303,万,26 29 10
304,转,26 34 26 27 26 26 45 30
305,镇,28 26 26 26 37 26 27 27 31 26 26 26 26 28 30
306,们,28 27 27 30 10
307,溢,30 30 0 30 28 26 28 30 27 31 27 27 26
308,空,30 30 33 28 44 26 27 26
309,我,28 26 39 0 3 28 30
310,义,30 28 25
311,针,28 26 26 26 37 26 27
312,力,10 29
313,龙,26 29 28 47 30
314,门,27 30 10
315,务,28 12 25 10 29
316,调,30 16 29 10 26 27 26 27 31 26
317,村,26 27 28 30 26 39 30
318,國,27 31 26 27 31 26 0 3 28 30 26
319,左,26 28 26 27 26
320,筑,28 26 30 28 26 30 26 27 26 29 14 30
321,莉,26 27 27 28 26 27 28 30 27 39
322,啡,27 31 26 27 26 26 26 27 26 26 26
323,双,12 25 12 25
324,漆,30 30 0 26 27 28 25 28 25 39 30 0 28 30
325,艾,26 27 27 28 25
326,云,26 26 42 30
327,鍋,28 30 26 26 27 30 28 0 27 31 27 26 27 10 27 31 26
328,盖,30 28 26 26 27 26 27 31 27 27 26
329,饭,28 33 37 28 29 12 25
330,隧,20 27 30 28 26 28 1 28 28 28 25 30 31 44
331,客,30 30 33 28 12 25 27 31 26
332,餐,27 26 28 12 30 12 25 28 25 30 31 26 26 37 28 30
333,报,26 39 0 10 27 12 25
334,湘,30 30 0 26 27 28 30 27 31 26 26 26
335,灰,26 28 30 28 29 25
336,锦,28 26 26 26 37 28 27 31 26 26 27 10 27
337,草,26 27 27 27 31 26 26 26 27
338,皮,33 29 27 12 25
339,作,28 27 28 26 27 26 26
340,尚,27 30 28 27 10 27 31 26
341,您,28 27 28 33 39 28 30 30 5 30 30
342,当,27 30 28 31 26 26
343,抵,26 39 0 28 37 26 3 30
344,多,28 12 30 28 12 30
345,亩,30 26 27 31 26 27 26
346,阿,20 27 26 39 27 31 26
347,条,28 12 25 26 39 28 30
348,容,30 30 33 28 30 28 25 27 31 26
349,链,28 26 26 26 37 26 34 26 27 30 31 44
350,域,26 27 26 26 27 31 26 0 3 28 30
351,是,27 31 26 26 26 27 26 28 25
352,顶,26 39 26 28 27 31 29 30
353,械,26 27 28 30 26 3 28 30 26 29 27
354,理,26 26 27 26 27 31 26 26 26 27 26
355,摄,26 39 0 26 27 27 26 26 26 12 25 12 25
356,百,26 28 27 31 26 26
357,吴,27 31 26 26 26 29 25
358,刀,10 29
359,费,31 26 15 29 27 27 31 28 30
360,壹,26 27 26 30 33 26 27 31 26 30 28 26
361,增,26 27 26 30 28 27 31 27 30 28 26 27 31 26 26
362,清,30 30 0 26 26 27 26 29 10 26 26
363,膏,30 26 27 31 26 27 10 27 31 26 29 10 26 26
364,样,26 27 28 30 30 28 26 26 26 27
365,改,31 26 47 28 26 28 25
366,营,26 27 27 30 33 27 31 26 27 31 26
367,施,30 26 10 28 28 26 10 27 47
368,令,28 25 30 33 30
369,现,26 26 27 26 27 31 29 47
370,铝,28 26 26 26 37 27 31 26 27 31 26
371,重,28 26 27 31 26 26 26 27 26
372,玩,26 26 27 26 26 26 29 47
373,礼,30 12 27 30 47
374,千,28 26 27
375,虹,27 31 26 27 0 30 26 27 26
376,带,26 27 27 27 27 33 27 10 27
377,省,39 28 30 28 27 31 26 26 26
378,式,26 3 30 26 27 26
379,潢,30 30 0 26 27 27 26 27 31 26 27 26 28 30
380,医,26 28 26 26 29 25 34
381,优,28 27 26 29 47 30
382,享,30 26 27 31 26 33 39 26
383,超,26 27 26 27 26 28 25 10 29 27 31 26
384,纪,42 42 0 31 26 47
385,扒,26 39 0 28 44
386,奔,26 29 25 26 27 26 29 27
387,钢,28 26 26 26 37 27 10 28 25
388,语,30 16 26 27 31 26 27 31 26
389,梅,26 27 28 30 28 26 34 10 30 30 26
390,仙,28 27 27 34 27
391,铺,28 26 26 26 37 26 27 10 26 26 27 30
392,幸,26 27 26 30 28 26 26 27
393,巨,26 31 26 34
394,就,30 26 27 31 26 39 28 30 26 29 47 30
395,起,26 27 26 27 26 28 25 31 26 47
396,庄,30 26 29 26 27 26
397,购,27 31 29 30 28 10 42 30
398,危,28 33 26 29 10 47
399,野,27 31 26 26 26 27 26 33 30 33 39
400,参,42 30 26 29 25 28 28 28
401,际,20 27 26 26 39 28 30
402,种,28 26 27 28 30 27 31 26 27
403,出,34 27 27 34 27
404,肚,29 10 26 26 26 27 26
405,肉,27 10 28 30 28 30
406,庭,30 26 29 28 26 27 26 18 25
407,追,28 27 31 26 31 26 30 31 44
408,汇,30 30 0 26 34
409,九,29 14
410,量,27 31 26 26 26 27 31 26 26 26 27 26
411,彩,28 30 30 28 26 27 28 25 28 28 28
412,举,30 30 30 26 28 25 26 26 27
413,瑜,26 26 27 26 28 25 26 29 10 26 26 27 39
414,英,26 27 27 27 31 26 29 25
415,紫,27 26 27 26 28 47 42 42 30 39 28 30
416,周,29 10 26 27 26 27 31 26
417,團,27 31 26 27 31 26 26 27 26 30 26 39 30 26
418,直,26 27 27 31 26 26 26 26
419,青,26 26 27 26 29 10 26 26
420,玉,26 26 27 26 30
421,欢,12 25 28 33 29 25
422,内,27 10 29 30
423,厂,26 29
424,烧,30 30 28 30 26 28 4 26 28 47
425,体,28 27 26 27 28 25 26
426,未,26 26 27 28 25
427,效,30 26 28 30 28 25 28 26 28 25
428,泵,26 28 27 31 26 39 12 28 25
429,星,27 31 26 26 28 26 26 27 26
430,港,30 30 0 26 27 27 26 28 30 31 26 47
431,粥,31 26 15 30 28 26 27 28 25 31 26 15
432,致,26 42 30 26 27 26 28 26 28 25
433,凯,27 34 27 31 26 47 29 14
434,南,26 27 27 10 30 28 26 26 27
435,足,27 31 26 27 26 28 25
436,避,31 26 29 27 31 26 30 26 30 28 26 26 27 30 31 44
437,亚,26 27 27 30 28 26
438,红,42 42 0 26 27 26
439,骨,27 31 31 30 33 27 10 26 26
440,求,26 39 30 0 28 25 30
441,博,26 27 26 27 10 26 26 27 30 26 39 30
442,亞,26 27 26 45 45 26 27 26
443,子,33 39 26
444,寇,30 30 33 26 26 29 47 27 26 12 25
445,次,30 0 28 33 29 25
446,切,26 47 10 29
447,隆,20 27 28 12 25 26 28 26 26 27 26
448,机,26 27 28 30 29 14
449,芝,26 27 27 30 12 25
450,贴,27 31 29 30 27 26 27 31 26
451,净,30 30 28 31 31 26 26 39
452,年,28 26 26 27 26 27
453,队,20 27 29 25
454,卡,27 26 26 27 30
455,瓷,30 0 28 33 29 25 26 37 14 30
456,广,30 26 29
457,风,29 14 28 25
458,飞,14 28 30
459,防,20 27 30 26 10 29
460,轩,26 34 26 27 26 26 27
461,牌,29 27 26 31 28 27 31 26 26 29 26 27
462,维,42 42 0 28 27 30 26 26 26 27 26
463,限,20 27 31 26 26 37 28 25
464,四,27 31 29 6 26
465,每,28 26 34 10 30 30 26
466,部,30 26 30 28 26 27 31 26 20 27
467,模,26 27 28 30 26 27 27 27 31 26 26 26 29 25
468,货,28 27 28 47 27 31 29 30
469,经,42 42 0 12 30 26 27 26
470,轮,26 34 26 27 28 25 28 47
471,河,30 30 0 26 39 27 31 26
472,福,30 12 27 30 26 27 31 26 27 31 26 27 26
473,才,26 39 28
474,边,10 29 30 31 44
475,化,28 27 28 47
476,性,30 30 27 28 26 26 27 26
477,富,30 30 33 26 27 31 26 27 31 26 27 26
478,航,28 29 10 30 30 26 30 26 29 14
479,玮,26 26 27 26 26 26 10 27
480,实,30 30 33 30 30 26 29 30
481,半,30 28 26 26 27
482,住,28 27 30 26 26 27 26
483,接,26 39 0 30 26 30 28 26 40 28 26
484,呷,27 31 26 27 31 26 26 27
485,庆,30 26 29 26 29 25
486,教,26 27 26 28 33 39 26 28 26 28 25
487,灵,31 26 26 30 28 29 25
488,十,26 27
489,圆,27 31 27 31 26 27 31 29 30 26
490,宗,30 30 33 26 26 39 28 30
491,定,30 30 33 26 27 26 28 25
492,水,39 12 28 25
493,忠,27 31 26 27 30 5 30 30
494,钟,28 26 26 26 37 27 31 26 27
495,绍,42 42 0 10 29 27 31 26
496,沪,30 30 0 30 31 26 29
497,期,26 27 27 26 26 26 28 30 29 10 26 26
498,洗,30 30 0 28 26 27 26 29 47
499,格,26 27 28 30 28 12 25 27 31 26
500,疫,30 26 29 30 0 29 21 12 25
501,协,26 27 10 28 30 30
502,计,30 16 26 27
503,饺,28 33 37 30 26 28 30 28 25
504,推,26 39 0 28 27 30 26 26 26 27 26
505,幼,42 42 30 10 29
506,深,30 30 0 30 33 28 44 26 27 28 25
507,约,42 42 0 28 10 30
508,墨,27 31 30 28 26 26 27 26 30 30 30 30 26 27 26
509,春,26 26 26 28 25 27 31 26 26
510,绿,42 42 0 31 26 26 39 30 0 28 30
511,慢,30 30 27 27 31 26 26 27 31 27 27 26 12 25
512,風,29 14 28 27 31 26 27 0 30
513,办,10 28 30 30
514,意,30 26 30 28 26 27 31 26 26 30 5 30 30
515,止,27 26 27 26
516,脏,29 10 26 26 30 26 29 26 27 26
517,技,26 39 0 26 27 12 25
518,弘,31 26 15 42 30
519,查,26 27 28 25 27 31 26 26 26
520,金,28 25 26 26 27 30 28 26
521,喝,27 31 26 27 31 26 26 28 10 28 25 34
522,喜,26 27 26 27 31 26 30 28 26 27 31 26
523,线,42 42 0 26 26 3 28 30
524,口,27 31 26
525,小,39 28 30
526,钻,28 26 26 26 37 27 26 27 31 26
527,孟,33 39 26 27 31 27 27 26
528,让,30 16 27 26 26
529,可,26 39 27 31 26
530,常,27 30 28 30 33 27 31 26 27 10 27
531,销,28 26 26 26 37 27 30 28 27 10 26 26
532,玛,26 26 27 26 31 15 26
533,第,28 26 30 28 26 30 31 26 15 27 28
534,看,28 26 26 28 27 31 26 26 26
535,得,28 28 27 27 31 26 26 26 26 39 30
536,衡,28 28 27 28 31 27 31 26 27 26 26 28 30 26 26 39
537,舒,28 25 26 26 27 27 31 26 33 30 33 39
538,厅,26 29 26 39
539,諧,30 26 26 26 27 31 26 26 37 28 47 28 27 31 26 26
540,章,30 26 30 28 26 27 31 26 26 26 27
541,林,26 27 28 30 26 27 28 25
542,球,26 26 27 0 26 39 30 0 28 25 30
543,贩,27 31 29 30 28 29 12 25
544,亿,28 27 48
545,识,30 16 27 31 26 28 30
546,渔,30 30 0 28 33 27 31 26 27 26 26
547,荆,26 27 27 26 26 29 27 27 39
548,迈,26 29 10 30 31 44
549,特,28 26 26 27 26 27 26 26 39 30
550,最,27 31 26 26 26 27 27 26 26 26 12 25
551,术,26 27 28 25 30
552,土,26 27 26
553,洛,30 30 0 28 12 25 27 31 26
554,本,26 27 28 25 26
555,宿,30 30 33 28 27 26 28 27 31 26 26
556,搜,26 39 0 28 27 31 26 26 26 27 12 25
557,无,26 26 29 47
558,件,28 27 28 26 26 27
559,聚,26 27 27 26 26 0 12 30 28 27 28 28 28 25
560,开,26 26 29 27
561,诊,30 16 28 25 28 28 28
562,法,30 30 0 26 27 26 42 30
563,饰,28 31 37 28 26 27 31 27
564,窗,30 30 33 28 44 28 27 31 28 12 30 26
565,绣,42 42 0 28 26 27 28 25 49 29
566,不,26 28 27 30
567,朋,29 10 26 26 29 10 26 26
568,导,31 26 47 26 39 30
569,校,26 27 28 30 30 26 28 30 28 25
570,吃,27 31 26 28 26 48
571,引,31 26 15 27
572,恭,26 27 27 26 28 30 39 28 30 30
573,饼,28 33 37 30 28 26 26 29 27
574,锅,28 26 26 26 37 27 31 26 27 10 29 30
575,寿,26 26 26 28 26 39 30
576,高,30 26 27 31 26 27 10 27 31 26
577,取,26 27 27 26 26 26 12 25
578,陶,20 27 28 10 28 26 26 27 34 27
579,娇,40 28 26 29 26 29 25 29 27
580,靛,26 26 27 26 29 10 26 26 30 30 33 26 27 26 28 25
581,尽,31 26 29 25 30 30
582,屯,26 34 27 47
583,流,30 30 0 30 26 42 30 28 27 47
584,所,28 29 31 26 28 29 26 27
585,正,26 27 26 27 26
586,寄,30 30 33 26 29 25 26 39 27 31 26
587,你,28 27 28 33 39 28 30
588,冰,30 0 39 12 28 25
589,缘,42 42 0 34 31 26 28 1 28 28 28 25
590,旅,30 26 10 28 28 26 28 37 28 25
591,畅,27 31 26 26 27 49 28 28
592,代,28 27 26 3 30
593,传,28 27 26 26 45 30
594,月,29 10 26 26
595,坡,26 27 26 33 29 27 12 25
596,垫,26 39 0 29 14 30 26 27 26
597,胎,29 10 26 26 42 30 27 31 26
598,桌,27 26 27 31 26 26 26 27 28 25
599,巴,31 27 26 47
600,烟,30 28 29 30 27 31 26 29 25 26
601,下,26 27 30
602,麦,26 26 27 26 28 12 25
603,比,26 37 28 47
604,色,28 33 31 27 26 47
605,钱,28 26 26 26 37 26 26 3 28 30
606,湾,30 30 0 30 26 29 39 28 30 31 26 15
607,證,30 26 26 26 27 31 26 12 30 28 28 25 26 27 31 26 30 28 26
608,茂,26 27 27 26 29 3 28 30
609,興,28 27 26 26 27 31 26 27 31 26 31 26 26 26 28 30
610,莱,26 27 27 26 30 28 26 27 28 25
611,锈,28 26 26 26 37 28 26 27 28 25 49 29
612,泉,28 27 31 26 26 39 12 28 25
613,走,26 27 26 27 26 28 25
614,鼎,27 31 26 26 26 45 26 29 27 26 27 31
615,洁,30 30 0 26 27 26 27 31 26
616,赛,30 30 33 26 26 29 27 26 28 44 27 31 29 30
617,视,30 12 27 30 27 31 29 47
618,热,26 39 0 29 14 30 30 30 30 30
619,配,26 27 31 29 6 26 26 31 26 47
620,磊,26 28 27 31 26 26 28 27 31 26 26 28 27 31 26
621,板,26 27 28 30 28 29 12 25
622,拥,26 39 0 29 10 26 26 27
623,倡,28 27 27 31 26 26 27 31 26 26
624,丰,26 26 26 27
625,老,26 27 26 28 28 47
626,仁,28 27 26 26
627,矩,28 26 26 28 30 26 31 26 34
628,茶,26 27 27 28 25 26 39 28 30
629,溪,30 30 0 28 30 30 28 42 42 30 26 29 25
630,古,26 27 27 31 26
631,免,28 33 27 31 26 29 47
632,绝,42 42 0 28 33 31 27 26 47
633,型,26 26 29 27 27 39 26 27 26
634,密,30 30 33 30 5 30 28 30 27 34 27
635,卓,27 26 27 31 26 26 26 27
636,舞,28 26 26 27 27 27 27 26 28 12 30 26 42 27
637,爵,28 30 30 30 27 31 27 27 26 31 26 26 37 30 26 39 30
638,阁,27 30 10 28 12 25 27 31 26
639,锁,28 26 26 26 37 27 30 28 27 31 29 30
640,度,30 26 29 26 27 27 26 12 25
641,曲,27 31 26 27 27 26
642,批,26 39 0 26 37 28 47
643,悲,27 26 26 26 27 26 26 26 30 5 30 30
644,鵝,28 26 39 0 3 28 30 28 27 31 26 26 26 10 30 30 30 30
645,长,28 26 37 25
646,振,26 39 0 26 29 26 26 37 28 25
647,胜,29 10 26 26 28 26 26 27 26
648,智,28 26 26 29 25 27 31 26 27 31 26 26
649,石,26 28 27 31 26
650,价,28 27 28 25 29 27
651,黄,26 27 27 26 27 31 26 27 26 28 30
652,财,27 31 29 30 26 39 28
653,强,31 26 15 27 31 26 27 31 26 27 0 30
654,首,30 28 26 28 27 31 26 26 26
655,启,30 31 26 29 27 31 26
656,已,31 26 47
657,活,30 30 0 28 26 27 27 31 26
658,档,26 27 28 30 27 30 28 31 26 26
659,米,30 28 26 27 28 25
660,儿,29 47
661,吊,27 31 26 27 10 27
662,距,27 31 26 27 26 27 0 26 31 26 34
663,资,30 0 28 33 29 25 27 31 29 30
664,织,42 42 0 27 31 26 28 30
665,視,30 12 27 30 27 31 26 26 26 29 47
666,按,26 39 0 30 30 33 40 28 26
