,char,strokeorder
339,作,P-S P-H-S-H-H
340,尚,S-D-P S-HZG S-HZ-H
341,您,P-S P-HG SG P D D BXG D D
342,当,S-D-P HZ-H-H
343,抵,H-SG-T P-ST-H-XG D
344,多,P-HP-D P-HP-D
345,亩,D H S-HZ-H-S-H
346,阿,HPWG-S H-SG S-HZ-H
347,条,P-HP-N H-SG P D
348,容,D-D-HG P D P-N S-HZ-H
349,链,P-H-H-H-ST H-SZ-H-S D HZ-TN
350,域,H-S-H H S-HZ-H T XG-P-D
351,是,S-HZ-H-H H S-H-P-N
352,顶,H-SG H-P S-HZ SP-D
353,械,H-S-P-D H-XG-P-D H-SP-S
354,理,H H-S-H S-HZ-H-H-H-S-H
355,摄,H-SG-T H-S-S-H-H-H HP-N HP-N
356,百,H P-S-HZ-H-H
357,吴,S-HZ-H H-H-SP-N
358,刀,HZG-SP
359,费,HZ H SZWG SP S S HZ P D
360,壹,H-S-H D-HG H S-HZ-H D P H
361,增,H-S-H D P S-HZ S-D-P H S-HZ-H-H
362,清,D D T H-H-S-H SP-HZG-H-H
363,膏,D H S-HZ-H S-HZG S-HZ-H SP-HZG-H-H
364,样,H-S-P-D D-P-H-H-H-S
365,改,HZ-H-SWG P-H-P-N
366,营,H-S-S D-HG S-HZ-H S-HZ-H
367,施,D H HZG P P H HZG S SWG
368,令,P-N D-HG-D
369,现,H H-S-H S-HZ SP SWG
370,铝,P-H-H-H-ST S-HZ-H S-HZ-H
371,重,P-H-S-HZ-H-H-H-S-H
372,玩,H H-S-H H-H-SP-SWG
373,礼,D-HP-S-D SWG
374,千,P-H-S
375,虹,S-HZ-H-S-T-D H S-H
376,带,H S S S S HG S HZG S
377,省,SG P D P S-HZ-H-H-H
378,式,H-XG D H S-H
379,潢,D D T H-S-S-H S-HZ-H-S-H P D
380,医,H P-H-H-SP-N SZ
381,优,P-S H-SP-SWG D
382,享,D H S-HZ-H HG-SG-H
383,超,H-S-H S-H-P-N HZG-SP S-HZ-H
384,纪,PZ-PZ T HZ-H-SWG
385,扒,H-SG-T P TN
386,奔,H-SP-N H-S H-SP-S
387,钢,P-H-H-H-ST S-HZG P-N
388,语,D HZT H-S-HZ-H S-HZ-H
389,梅,H-S-P-D P-H SZ-HZG-D-D-H
390,仙,P-S S-SZ-S
391,铺,P-H-H-H-ST H-S-HZG-H-H-S D
392,幸,H-S-H D P H H-S
393,巨,H HZ H SZ
394,就,D-H S-HZ-H-SG-P-D H-SP-SWG D
395,起,H-S-H S-H-P-N HZ-H-SWG
396,庄,D-H-SP H-S-H
397,购,S-HZ SP-D P-HZG PZ-D
398,危,P-HG H-SP HZG-SWG
399,野,S-HZ-H-H-H-S-H HG-D-HG-SG
400,参,PZ-D H-SP-N P P P
401,际,HPWG-S H H SG P D
402,种,P-H-S-P-D S-HZ-H S
403,出,SZ-S-S-SZ-S
404,肚,SP-HZG-H-H H-S-H
405,肉,S HZG P D P D
406,庭,D-H-SP P H-S-H HZZP-N
407,追,P S-HZ-H-HZ-H D HZ-TN
408,汇,D D T H-SZ
409,九,SP-HZWG
410,量,S-HZ-H-H H S-HZ-H-H-H-S-H
411,彩,P D D P H-S-P-N P P P
412,举,D D D H P N H H S
413,瑜,H H-S-H P-N H SP-HZG-H-H S SG
414,英,H-S-S S-HZ-H-SP-N
415,紫,S-H-S-H P-SWG PZ-PZ-D SG P D
416,周,SP-HZG H-S-H S-HZ-H
417,團,S HZ H S HZ H H S H D H SG D H
418,直,H-S-S-HZ-H-H-H H
419,青,H-H-S-H SP-HZG-H-H
420,玉,H-H-S-H D
421,欢,HP-N P-HG SP-N
422,内,S-HZG SP-D
423,厂,H-SP
424,烧,D D P D H P NG H P SWG
425,体,P-S H-S-P-N-H
426,未,H-H-S-P-N
427,效,D-H-P-D P-N P-H-P-N
428,泵,H-P S-HZ-H SG-HP-P-N
429,星,S-HZ-H-H P-H-H-S-H
430,港,D D T H-S-S-H-P-D HZ-H-SWG
431,粥,HZ-H-SZWG D P H-S-P-N HZ-H-SZWG
432,致,H PZ-D H-S-H P-H-P-N
433,凯,S-SZ-S HZ-H-SWG SP HZWG
434,南,H-S S-HZG D P H H-S
435,足,S-HZ-H S-H-P-N
436,避,HZ-H-SP S-HZ-H D H D P H H-S D HZ-TN
437,亚,H S-S-D-P-H
438,红,PZ-PZ T H S-H
439,骨,S-HZ-HZ-D-HG S-HZG-H-H
440,求,H SG D T P N D
441,博,H-S H-S-HZG-H-H-S D H-SG-D
442,亞,H-S-H-SZZ-SZZ-H-S-H
443,子,HG-SG-H
444,寇,D-D-HG H-H-SP-SWG S-H HP-N
445,次,D T P-HG SP-N
446,切,H-SWG HZG-SP
447,隆,HPWG-S P-HP-N H P-H-H-S-H
448,机,H-S-P-D SP HZWG
449,芝,H-S-S D-HP-N
450,贴,S-HZ SP-D S-H S-HZ-H
451,净,D D P HZ HZ H H SG
452,年,P-H-H-S-H-S
453,队,HPWG-S SP-N
454,卡,S-H H-S-D
455,瓷,D T P-HG SP-N H-ST-HZWG D
456,广,D-H-SP
457,风,SP HZWG P-N
458,飞,HZWG P D
459,防,HPWG-S D-H-HZG-SP
460,轩,H-SZ-H-S H H-S
461,牌,SP-S-H-HZ P-S-HZ-H-H-SP-H-S
462,维,PZ-PZ T P-S-D-H-H-H-S-H
463,限,HPWG-S HZ-H-H-ST-P-N
464,四,S-HZ-SP-SW-H
465,每,P-H SZ-HZG-D-D-H
466,部,D H D P H S-HZ-H HPWG-S
467,模,H-S-P-D H-S-S S-HZ-H-H H-SP-N
468,货,P-S P-SWG S-HZ SP-D
469,经,PZ-PZ T HP-D H-S-H
470,轮,H-SZ-H-S P-N P-SWG
471,河,D D T H-SG S-HZ-H
472,福,D-HP-S-D H S-HZ-H S-HZ-H-S-H
473,才,H-SG-P
474,边,HZG-SP D HZ-TN
475,化,P-S P-SWG
476,性,D D S P-H-H-S-H
477,富,D-D-HG H S-HZ-H S-HZ-H-S-H
478,航,P-SP-HZG-D-D-H D H SP HZWG
479,玮,H H-S-H H-H-HZG-S
480,实,D-D-HG D D H-SP-D
481,半,D P H-H-S
482,住,P-S D H H-S-H
483,接,H-SG-T D H D P H PD-P-H
484,呷,S-HZ-H S-HZ-H-H-S
485,庆,D-H-SP H-SP-N
486,教,H-S-H-P HG-SG-H P-H-P-N
487,灵,HZ-H-H D-P-SP-N
488,十,H-S
489,圆,S-HZ S-HZ-H S-HZ SP-D H
490,宗,D-D-HG H H SG P D
491,定,D-D-HG H S-H-P-N
492,水,SG-HP-P-N
493,忠,S-HZ-H S D BXG D D
494,钟,P-H-H-H-ST S-HZ-H S
495,绍,PZ-PZ T HZG-SP S-HZ-H
496,沪,D D T D HZ-H-SP
497,期,H-S-S-H-H-H P-D SP-HZG-H-H
498,洗,D D T P-H-S-H-SP-SWG
499,格,H-S-P-D P-HP-N S-HZ-H
500,疫,D-H-SP D T SP HZW HP-N
501,协,H S HZG P D D
502,计,D HZT H-S
503,饺,P-HG ST D-H-P-D P-N
504,推,H-SG-T P-S-D-H-H-H-S-H
505,幼,PZ-PZ-D HZG-SP
506,深,D D T D-HG P TN H-S-P-N
507,约,PZ-PZ T P-HZG D
508,墨,S-HZ-D-P-H-H-S-H D D D D H-S-H
509,春,H H H P N S HZ H H
510,绿,PZ-PZ T HZ-H-H SG D T P D
511,慢,D D S S-HZ-H-H S-HZ-S-S-H HP-N
512,風,SP HZWG P S-HZ-H-S-T-D
513,办,HZG P D D
514,意,D H D P H S-HZ-H-H D BXG D D
515,止,S-H-S-H
516,脏,SP-HZG-H-H D-H-SP H-S-H
517,技,H-SG-T H-S HP-N
518,弘,HZ-H-SZWG PZ-D
519,查,H-S-P-N S-HZ-H-H H
520,金,P-N H-H-S-D-P-H
521,喝,S-HZ-H S-HZ-H-H P-HZG P-N SZ
522,喜,H-S-H S-HZ-H D P H S-HZ-H
523,线,PZ-PZ T H-H-XG-P-D
524,口,S-HZ-H
525,小,SG P D
526,钻,P-H-H-H-ST S-H S-HZ-H
527,孟,HG-SG-H S-HZ-S-S-H
528,让,D HZT S-H-H
529,可,H-SG S-HZ-H
530,常,S-D-P D-HG S-HZ-H S-HZG-S
531,销,P-H-H-H-ST S-D-P S-HZG-H-H
532,玛,H H-S-H HZ-SZWG H
533,第,P-H-D P-H-D HZ-H-SZWG-S-P
534,看,P-H-H-P S-HZ-H-H-H
535,得,P P-S S-HZ-H-H H H-SG-D
536,衡,P P S P HZ S HZ H S H H P D H H SG
537,舒,P-N H H-S S-HZ-H HG-D-HG-SG
538,厅,H-SP H-SG
539,諧,D H H H S-HZ-H H-ST P-SWG P-S-HZ-H-H
540,章,D H D P H S-HZ-H-H H-S
541,林,H-S-P-D H-S-P-N
542,球,H H S T H SG D T P N D
543,贩,S-HZ SP-D P-SP HP-N
544,亿,P-S HXWG
545,识,D HZT S-HZ-H P D
546,渔,D D T P-HG S-HZ-H-S-H H
547,荆,H-S-S H H-SP-S S SG
548,迈,H-SP-HZG D HZ-TN
549,特,P-H-H-S H-S-H H-SG-D
550,最,S-HZ-H-H H-S-S-H-H-H HP-N
551,术,H-S-P-N D
552,土,H-S-H
553,洛,D D T P-HP-N S-HZ-H
554,本,H-S-P-N-H
555,宿,D-D-HG P-S H P-S-HZ-H-H
556,搜,H SG T P S HZ H H H S HP N
557,无,H H-SP-SWG
558,件,P-S P-H-H-S
559,聚,H S S H H T HP D P S P P P N
560,开,H H-SP-S
561,诊,D HZT P-N P P P
562,法,D D T H-S-H PZ-D
563,饰,P HZ ST P H S HZ S
564,窗,D D-HG P TN P-S-HZ-P-HP-D-H
565,绣,PZ-PZ T P-H-S-P-N HZZZG-SP
566,不,H-P-S-D
567,朋,SP-HZG-H-H SP-HZG-H-H
568,导,HZ-H-SWG H-SG-D
569,校,H-S-P-D D-H-P-D P-N
570,吃,S-HZ-H P-H HXWG
571,引,HZ-H-SZWG S
572,恭,H-S-S-H-P-D SG P D D
573,饼,P-HG ST D P H H-SP-S
574,锅,P-H-H-H-ST S-HZ-H S-HZG SP-D
575,寿,H-H-H-P-H-SG-D
576,高,D H S-HZ-H S-HZG S-HZ-H
577,取,H-S-S-H-H-H HP-N
578,陶,HPWG-S P-HZG P-H-H-S-SZ-S
579,娇,PD-P-H SP H-SP-N SP S
580,靛,H-H-S-H SP-HZG-H-H D-D-HG H S-H-P-N
581,尽,HZ-H-SP-N D D
582,屯,H-SZ-S-SWG
583,流,D D T D H PZ D P S SWG
584,所,P-SP-HZ-H P-SP-H-S
585,正,H-S-H-S-H
586,寄,D-D-HG H-SP-N H-SG S-HZ-H
587,你,P-S P-HG SG P D
588,冰,D T SG-HP-P-N
589,缘,PZ-PZ T SZ-HZ-H-P-WG-P-P-P-N
590,旅,D H HZG P P H P ST P N
591,畅,S-HZ-H-H-S HZZZG-P-P
592,代,P-S H-XG D
593,传,P-S H-H-SZZ-D
594,月,SP-HZG-H-H
595,坡,H-S-H HG-SP-S-HP-N
596,垫,H-SG-T SP-HZWG-D H-S-H
597,胎,SP-HZG-H-H PZ-D S-HZ-H
598,桌,S-H S-HZ-H-H H-S-P-N
599,巴,HZ-S-H-SWG
600,烟,D-P-SP-D S-HZ H-SP-N H
601,下,H-S-D
602,麦,H-H-S-H P-HP-N
603,比,H-ST P-SWG
604,色,P-HG HZ-S-H-SWG
605,钱,P-H-H-H-ST H-H-XG-P-D
606,湾,D D T D-H-SP-SG-P-D HZ-H-SZWG
607,證,D H H H S-HZ-H HP-D P-P-N H S-HZ-H D P H
608,茂,H-S-S H-SP-XG-P-D
609,興,P S H H S HZ H S HZ H HZ H H H P D
610,莱,H-S-S H D P H-S-P-N
611,锈,P-H-H-H-ST P-H-S-P-N HZZZG-SP
612,泉,P-S-HZ-H-H SG-HP-P-N
613,走,H-S-H S-H-P-N
614,鼎,S-HZ-H-H-H SZZ-H-SP S-H-S-HZ
615,洁,D D T H-S-H S-HZ-H
616,赛,D-D-HG H-H-SP-S H P TN S-HZ SP-D
617,视,D-HP-S-D S-HZ SP SWG
618,热,H-SG-T SP-HZWG-D D D D D
619,配,H-S-HZ-SP-SW-H-H HZ-H-SWG
620,磊,H-P S-HZ-H H-P S-HZ-H H-P S-HZ-H
621,板,H-S-P-D P-SP HP-N
622,拥,H-SG-T SP-HZG-H-H-S
623,倡,P-S S-HZ-H-H S-HZ-H-H
624,丰,H-H-H-S
625,老,H-S-H-P P-SWG
626,仁,P-S H H
627,矩,P H H P D H HZ H SZ
628,茶,H-S-S P-N H-SG P D
629,溪,D D T P D D P PZ-PZ-D H-SP-N
630,古,H-S S-HZ-H
631,免,P-HG-S-HZ-H-SP-SWG
632,绝,PZ-PZ T P-HG HZ-S-H-SWG
633,型,H H-SP-S S SG H-S-H
634,密,D-D-HG D BXG D P D S-SZ-S
635,卓,S-H S-HZ-H-H H-S
636,舞,P H H S S S S H P HP D H PZ S
637,爵,P D D D S HZ S S H HZ H H ST D H SG D
638,阁,S-D-HZG P-HP-N S-HZ-H
639,锁,P-H-H-H-ST S-D-P S-HZ SP-D
640,度,D-H-SP H-S-S-H HP-N
641,曲,S-HZ-H-S-S-H
642,批,H-SG-T H-ST P-SWG
643,悲,S-H-H-H S-H-H-H D BXG D D
644,鵝,P-H-SG-T-XG-P-D P-S-HZ-H-H-H-HZG D D D D
645,长,P-H-ST-N
646,振,H-SG-T H-SP H H-ST-P-N
647,胜,SP-HZG-H-H P-H-H-S-H
648,智,P-H-H-SP-N S-HZ-H S-HZ-H-H
649,石,H-P S-HZ-H
650,价,P-S P-N SP S
651,黄,H-S-S-H S-HZ-H-S-H P D
652,财,S-HZ SP-D H-SG-P
653,强,HZ-H-SZWG S-HZ-H S-HZ-H-S-T-D
654,首,D-P-H-P-S-HZ-H-H-H
655,启,D HZ-H-SP S-HZ-H
656,已,HZ-H-SWG
